2023-02-27 17:05:10 Staff ID, admin logged In
2023-02-27 17:30:49 New Discount , SIBLINGS Was Created By admin 
2023-02-27 17:31:17 New Discount , SIBLINGS Was Created By admin 
2023-02-27 17:31:56 New Discount , RELATIVES Was Created By admin 
2023-02-27 19:27:52 Staff ID, admin logged In
2023-02-27 19:39:13 New Student With ID , BHIS270220230005 Added By admin 
2023-02-27 19:40:14 New Student With ID , BHIS270220230005 Added By admin 
2023-02-27 19:41:59 New Student With ID , BHIS270220230005 Added By admin 
2023-02-27 19:42:20 New Student With ID , BHIS270220230005 Added By admin 
2023-02-27 19:43:33 New Student With ID , BHIS270220230005 Added By admin 
2023-02-27 19:49:07 Fees Structure Has Been Linked To Class With ID  By admin 
2023-02-27 20:21:22 Staff ID, admin logged In
2023-02-27 20:51:59Staff ID, admin Has Been Signed Out
2023-02-27 23:08:14 Staff ID, admin logged In
